ATL,3329
ORD,2817
DFW,2331
DEN,1956
LAX,1917
SFO,1424
PHX,1421
IAH,1404
LAS,1344
DTW,1085
MSP,1067
MCO,1064
BOS,1049
SEA,1031
LGA,1000
CLT,991
EWR,963
SLC,925
JFK,857
BWI,802
MDW,796
DCA,714
FLL,708
MIA,664
PHL,650
SAN,644
DAL,639
TPA,591
HOU,490
STL,467
PDX,459
BNA,441
HNL,410
AUS,406
MCI,398
OAK,372
SNA,359
MSY,349
SJC,345
SMF,345
CLE,335
10397,326
IAD,320
RDU,318
SAT,295
RSW,274
IND,273
13930,269
MKE,265
SJU,243
PIT,240
CMH,237
BDL,216
OGG,208
PBI,202
11298,195
ONT,193
ABQ,183
BUR,183
11292,180
JAX,173
CVG,159
OMA,156
BUF,154
RIC,151
12892,150
OKC,146
ANC,140
TUS,137
MEM,131
TUL,128
12266,125
14107,125
BHM,122
RNO,120
KOA,117
14771,116
CHS,113
12889,113
14747,111
13487,107
PVD,106
10721,104
BOI,102
ELP,102
GEG,100
GRR,99
LIH,95
SDF,95
14869,94
11618,93
11433,92
DAY,89
11057,89
13204,88
PSP,87
ORF,87
CID,85
DSM,82
12953,81
MSN,80
LIT,79
XNA,79
COS,75
LGB,75
BTR,74
TYS,72
SGF,71
FAT,71
HPN,71
LEX,70
MYR,69
12478,69
ICT,68
10821,67
ROC,65
JAN,64
GSO,63
SAV,63
13232,62
11697,61
FWA,61
ALB,60
11278,60
MAF,60
CAK,59
MHT,59
PIA,58
14100,55
SYR,55
14057,54
11259,52
CHA,52
ISP,52
ITO,52
GRK,52
SHV,51
SBA,51
CRP,51
PNS,50
GSP,50
13303,50
JNU,47
15016,46
14679,46
FNT,46
FAR,46
FSD,46
MFE,46
CAE,45
PWM,45
MOB,44
LFT,43
STT,43
RAP,43
12191,43
GRB,42
SBN,42
AMA,40
BZN,40
ATW,40
JAC,40
10693,40
15304,39
14831,38
14908,38
EUG,38
ECP,38
HSV,37
13796,37
GPT,37
12173,37
VPS,37
11042,35
SRQ,35
10423,35
LBB,35
13198,34
EVV,34
ASE,34
TLH,32
AEX,32
12264,32
ISN,31
14492,31
14893,30
GNV,30
13851,29
MLU,29
BIS,28
GJT,28
MDT,28
13342,28
SBP,28
TTN,28
MRY,27
BFL,27
BIL,26
LNK,26
13495,26
BTV,26
ABE,25
MGM,25
FCA,25
ROA,24
14683,24
PSC,24
LRD,24
ABI,23
RDM,23
MLI,23
HRL,23
FAI,23
KTN,22
MHK,22
PHF,22
BRO,22
12451,22
TRI,21
TVC,21
ACY,21
AVL,21
GTF,21
11066,21
CLL,20
13830,20
BMI,19
CHO,19
CMI,19
CRW,19
DRO,19
EYW,19
LSE,19
SJT,19
TYR,19
ILM,19
YUM,18
13891,18
DLH,18
14635,17
13871,17
14027,17
ACT,17
DAB,17
10800,17
MBS,17
SGU,17
10140,17
FSM,17
12992,17
MOT,17
MFR,17
LAN,16
14843,16
FLG,16
RST,16
HIB,16
FAY,16
EGE,16
CPR,16
SAF,15
10713,15
LCH,15
LBE,15
LAW,15
12339,15
DHN,15
ELM,15
SPI,15
11193,14
ROW,14
BRW,14
IDA,14
14524,14
MSO,14
14122,14
BQN,14
AZO,13
AGS,13
ABY,13
15370,13
11540,13
10299,13
11884,13
TXK,13
OAJ,13
COD,12
13296,12
GFK,12
BQK,12
12448,12
15376,12
COU,12
14570,11
SPS,11
11423,11
10599,11
SCE,11
13931,11
10994,11
HLN,11
10529,11
12758,11
10792,10
14814,10
ALO,10
PIH,10
15919,10
TWF,10
SIT,10
CWA,10
MLB,9
11995,9
SMX,9
12197,9
RHI,9
GTR,9
WRG,9
11986,9
11638,9
BPT,9
11637,9
RDD,9
ACV,9
DIK,9
JMS,9
MEI,9
AVP,9
IMT,9
12982,9
SUN,9
13485,8
PSG,8
CDV,8
12945,8
10874,8
14685,8
DBQ,7
14108,7
YAK,7
CDC,7
13244,7
15624,7
GUC,7
HOB,7
11721,7
CMX,7
BRD,7
10781,7
CSG,7
BET,7
MTJ,7
11267,6
11049,6
OME,6
14730,6
14689,6
DVL,6
14193,6
15096,6
GCK,6
EKO,6
STX,6
13422,6
ERI,6
BGR,6
EAU,5
11823,5
MKG,5
RKS,5
BLI,5
ORH,5
OTZ,5
PBG,5
SWF,5
PLN,5
TOL,5
10257,5
VLD,5
ABR,5
14321,5
14307,5
14262,5
ACK,5
13577,5
13264,5
GCC,5
13158,5
GRI,5
APN,5
14696,5
HDN,5
HYS,5
15380,5
12278,5
GUM,4
BJI,4
12896,4
10627,4
15412,4
MMH,4
INL,4
11109,4
ESC,4
15411,4
CNY,4
BTM,4
LAR,4
12323,4
CLD,4
CIU,4
10158,4
14576,4
10990,4
PSE,4
14698,4
16218,4
14783,4
10431,4
11953,4
10868,3
PAH,3
LWS,3
12954,3
12951,3
SCC,3
11898,3
14960,3
14952,3
10980,3
11982,3
14842,3
11140,3
11977,3
13476,3
EWN,3
11624,3
13029,3
12523,3
MVY,3
11921,3
12441,3
12402,3
12391,3
JLN,3
ADQ,3
15323,3
PIB,3
11003,3
PUB,2
